id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW230707_124047-v1,GW230707_124047,1,GWTC-4.0,1372768865.3,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230707_124047/v1,46.1,-8.2,12.2,36.4,-9.8,10.6,11.9,,,4500.0,-2300.0,2300.0,-0.05,-0.29,0.25,82.0,-12.0,19.0,35.1,-5.3,8.6,,,,0.71,-0.32,0.29,0.0011,,,0.99,,,78.0,-11.0,18.0
GW230708_053705-v1,GW230708_053705,1,GWTC-4.0,1372829843.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230708_053705/v1,29.1,-5.4,8.2,22.8,-5.4,5.5,8.9,,,3300.0,-1700.0,2000.0,0.07,-0.24,0.23,51.9,-7.6,10.2,22.2,-3.3,4.4,,,,0.55,-0.25,0.27,0.21999999999999997,,,0.99,,,49.4,-7.2,9.7
GW230708_071859-v1,GW230708_071859,1,GWTC-4.0,1372835957.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230708_071859/v1,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,1.5,,,0.73,,,,,
GW230708_230935-v1,GW230708_230935,1,GWTC-4.0,1372892993.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230708_230935/v1,64.0,-15.0,20.0,39.0,-15.0,14.0,10.0,,,3500.0,-1600.0,2300.0,0.01,-0.3,0.27,103.0,-16.0,21.0,42.5,-7.8,9.7,,,,0.58,-0.24,0.29,0.0037,,,0.99,,,99.0,-15.0,20.0
GW230709_063445-v1,GW230709_063445,1,GWTC-4.0,1372919703.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230709_063445/v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,15.0,,,0.83,,,,,
GW230709_122727-v1,GW230709_122727,1,GWTC-4.0,1372940865.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230709_122727/v1,45.0,-11.0,16.0,30.0,-13.0,13.0,10.2,,,4600.0,-2400.0,3500.0,0.08,-0.31,0.3,74.0,-14.0,20.0,31.0,-6.6,9.4,,,,0.73,-0.34,0.43,0.011,,,0.99,,,71.0,-13.0,19.0
GW230712_090405-v1,GW230712_090405,1,GWTC-4.0,1373187863.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230712_090405/v1,32.0,-10.0,17.0,13.1,-5.9,14.6,9.5,,,2000.0,-1000.0,2600.0,-0.03,-0.31,0.35,46.0,-11.0,21.0,16.5,-3.2,11.1,,,,0.37,-0.17,0.36,0.018,,,0.99,,,45.0,-11.0,20.0
GW230717_102139-v1,GW230717_102139,1,GWTC-4.0,1373624517.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230717_102139/v1,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,29.0,,,0.7,,,,,
GW230721_222634-v1,GW230721_222634,1,GWTC-4.0,1374013612.8,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230721_222634/v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,4.1,,,0.73,,,,,
GW230723_084820-v1,GW230723_084820,1,GWTC-4.0,1374137318.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230723_084820/v1,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,3.8999999999999995,,,0.64,,,,,
